model,维度,切片,n,MAE,mean_y,nMAE
xgb_base,整体,全部,110136,0.419,0.951,0.4404
xgb_base,时段,夜间(00-06),32123,0.2291,0.544,0.4211
xgb_base,时段,白天(07-17),50479,0.4651,1.067,0.436
xgb_base,时段,晚间(18-23),27534,0.556,1.215,0.4576
xgb_base,周内,周末,30813,0.5095,1.007,0.5059
xgb_base,周内,工作日,79323,0.3839,0.93,0.4129
xgb_base,时期,Q2(4-6月),47232,0.4256,1.025,0.4152
xgb_base,时期,Q3(7-9月),37512,0.3526,0.705,0.4998
xgb_base,时期,"Q4(10-11月,seg6/7短史)",25392,0.5048,1.178,0.4287
ptst_lr5e4,整体,全部,110136,0.4894,0.951,0.5144
ptst_lr5e4,时段,夜间(00-06),32123,0.3572,0.544,0.6566
ptst_lr5e4,时段,白天(07-17),50479,0.5184,1.067,0.4859
ptst_lr5e4,时段,晚间(18-23),27534,0.5905,1.215,0.486
ptst_lr5e4,周内,周末,30813,0.5671,1.007,0.563
ptst_lr5e4,周内,工作日,79323,0.4592,0.93,0.494
ptst_lr5e4,时期,Q2(4-6月),47232,0.4962,1.025,0.4841
ptst_lr5e4,时期,Q3(7-9月),37512,0.3954,0.705,0.5605
ptst_lr5e4,时期,"Q4(10-11月,seg6/7短史)",25392,0.6156,1.178,0.5227
dlinear_base,整体,全部,110136,0.5011,0.951,0.5267
dlinear_base,时段,夜间(00-06),32123,0.3835,0.544,0.7049
dlinear_base,时段,白天(07-17),50479,0.5238,1.067,0.491
dlinear_base,时段,晚间(18-23),27534,0.5966,1.215,0.491
dlinear_base,周内,周末,30813,0.5724,1.007,0.5683
dlinear_base,周内,工作日,79323,0.4734,0.93,0.5092
dlinear_base,时期,Q2(4-6月),47232,0.514,1.025,0.5014
dlinear_base,时期,Q3(7-9月),37512,0.3917,0.705,0.5552
dlinear_base,时期,"Q4(10-11月,seg6/7短史)",25392,0.6387,1.178,0.5423
